file_path,file_name,file_size,location,status
/content/drive/My Drive/organized_ai_models/misc/colab_modelsbloom-1b7/colab_modelsbloom-1b7/model-00002-of-00002.safetensors,model-00002-of-00002.safetensors,1947186192,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/colab_modelsbart-large/colab_modelsbart-large/model.safetensors,model.safetensors,1016373744,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/BigScience_bloom-560m/BigScience_bloom-560m/model.safetensors,model.safetensors,2236892304,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/models--t5-large/snapshots/150ebc2c4b72291e770f58e6057481c8d2ed331a/model.safetensors,model.safetensors,N/A,Active,Error: [Errno 2] No such file or directory: '/content/drive/My Drive/organized_ai_models/misc/models--t5-large/snapshots/150ebc2c4b72291e770f58e6057481c8d2ed331a/model.safetensors'
/content/drive/My Drive/organized_ai_models/misc/cardiffnlp/twitter-roberta-base-sentiment/model.safetensors,model.safetensors,498604904,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI (2)/gpt-neo-125M/model.safetensors,model.safetensors,500809416,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI (2)/gpt-neo-1.3B/model-00001-of-00002.safetensors,model-00001-of-00002.safetensors,4993790600,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI (2)/gpt-neo-1.3B/model-00002-of-00002.safetensors,model-00002-of-00002.safetensors,268543584,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/deepset/roberta-base-squad2/model.safetensors,model.safetensors,498604904,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/microsoft (2)/codebert-base-mlm/model.safetensors,model.safetensors,498604904,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/microsoft (2)/DialoGPT-medium/model.safetensors,model.safetensors,1419319376,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/allenai/longformer-base-4096/model.safetensors,model.safetensors,594668880,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (2)/bart-large-cnn/model.safetensors,model.safetensors,1625218696,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (2)/opt-1.3b/model-00002-of-00002.safetensors,model-00002-of-00002.safetensors,268568736,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (2)/bart-large-xsum/model.safetensors,model.safetensors,1625218696,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (2)/opt-2.7b/model-00001-of-00003.safetensors,model-00001-of-00003.safetensors,4994155840,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (2)/opt-2.7b/model-00002-of-00003.safetensors,model-00002-of-00003.safetensors,4982873728,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (2)/opt-2.7b/model-00003-of-00003.safetensors,model-00003-of-00003.safetensors,629415408,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (2)/bart-large-mnli/model.safetensors,model.safetensors,1625222792,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/Salesforce (1)/codegen-350M-mono/model.safetensors,model.safetensors,1216944968,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/openai/whisper-base/model.safetensors,model.safetensors,290402464,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/BigScience/BLOOM-560m/model.safetensors,model.safetensors,2236888792,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/BigScience/bloom-560m/model.safetensors,model.safetensors,2236892304,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/bigscience/bloom-560m/model.safetensors,model.safetensors,2236892304,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI (1)/gpt-neo-2.7B/model-00001-of-00003.safetensors,model-00001-of-00003.safetensors,4993525968,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI (1)/gpt-neo-2.7B/model-00002-of-00003.safetensors,model-00002-of-00003.safetensors,4982397200,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI (1)/gpt-neo-2.7B/model-00003-of-00003.safetensors,model-00003-of-00003.safetensors,629353256,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI (1)/gpt-neo-1.3B/model-00001-of-00002.safetensors,model-00001-of-00002.safetensors,4993794184,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI (1)/gpt-neo-1.3B/model-00002-of-00002.safetensors,model-00002-of-00002.safetensors,268543784,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (1)/bart-large-cnn/model.safetensors,model.safetensors,1016369648,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook (1)/bart-large-xsum/model.safetensors,model.safetensors,1625218696,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/microsoft (1)/codebert-base-mlm/model.safetensors,model.safetensors,498604904,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI/gpt-neo-125M/model.safetensors,model.safetensors,500811336,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI/gpt-neo-1.3B/model-00001-of-00002.safetensors,model-00001-of-00002.safetensors,4993794184,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/EleutherAI/gpt-neo-1.3B/model-00002-of-00002.safetensors,model-00002-of-00002.safetensors,268543784,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook/bart-large-cnn/model.safetensors,model.safetensors,1016369648,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook/bart-large-xsum/model.safetensors,model.safetensors,1016369648,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook/bart-large-mnli/model.safetensors,model.safetensors,1016373744,Active,Unknown Format
/content/drive/My Drive/organized_ai_models/misc/facebook/opt-1.3b/model-00001-of-00002.safetensors,model-00001-of-00002.safetensors,4994509120,Active,Unknown Format
